Time,Time Code,Country Name,Country Code,"Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-64, total [SP.POP.1564.TO]","Population ages 65 and above, total [SP.POP.65UP.TO]","Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Rural population [SP.RUR.TOTL],Urban population (% of total) [SP.URB.TOTL.IN.ZS]
2012,YR2012,Japan,JPN,16888200,80262098,30478702,127629000,-0.159710675844347,350.090520078999,11297719,91.148
2012,YR2012,India,IND,379512707,816654594,66898551,1263065852,1.26120551067994,424.818411201437,863507600,31.634
2012,YR2012,Indonesia,IDN,70940248,165644452,12298532,248883232,1.28419898226833,137.385379532671,121265866,51.276
2012,YR2012,Singapore,SGP,880180,3906077,526179,5312437,2.45339033031018,7524.69830028329,0,100
2012,YR2012,"Korea, Rep.",KOR,7593859,36814502,5791491,50199853,0.525713660600414,515.663615819209,9110771,81.851
2012,YR2012,Thailand,THA,12739756,48664367,6439856,67843979,0.46367738206719,132.795668343479,37012283,45.445
2012,YR2012,Philippines,PHL,32134120,60569814,4162708,96866642,1.65369034961466,324.870516819264,52586963,45.712
2012,YR2012,Malaysia,MYS,7757921,19873629,1538906,29170456,1.85222003666272,88.7854390503728,8087509,72.275
2013,YR2013,Germany,DEU,10680321,53129191,16836093,80645605,0.272900214681538,231.155712565925,18403327,77.18
2013,YR2013,France,FRA,12121255,41998939,11878466,65998660,0.514774024594539,120.5329490811,13770620,79.135
2013,YR2013,Spain,ESP,6936344,31215463,8468238,46620045,-0.327669039579687,93.2009456028468,9728205,79.133
2013,YR2013,Switzerland,CHE,1197008,5470616,1421722,8089346,1.14987975781229,204.710648851098,2129601,73.674
2013,YR2013,Sweden,SWE,1615748,6149412,1835219,9600379,0.847348652246305,23.5684661462169,1350197,85.936
2013,YR2013,Italy,ITA,8357366,38878085,12998497,60233948,1.1592511168095,204.779859930645,18685173,68.979
2013,YR2013,United Kingdom,GBR,11246719,41637474,11244033,64128226,0.669533807456598,265.06934237176,11477670,82.102
